CountyOrParish,new_listings,median_list_price,average_list_price,median_list_price_per_sqft,average_listing_days_on_market
Los Angeles,137288,950000.0,1703722.1469303945,630.9837532174138,20.28468620709749
Riverside,75727,620000.0,796462.1575159454,333.3333333333333,22.50167047420339
San Diego,67566,910000.0,1311612.7630874997,606.060606060606,16.321818666193057
Orange,51880,1200000.0,1790211.9788159213,689.6551724137931,18.45318041634541
San Bernardino,51056,539900.0,610712.4176946882,338.1486877657706,20.63316750235036
Santa Clara,25848,1499000.0,1918262.1346332405,921.9020676835219,15.973808418446302
Alameda,25722,998000.0,1175073.7908405256,660.6546426185705,16.742166239017184
Contra Costa,24645,809990.0,1118007.011645364,517.1238423823386,17.517752079529316
Ventura,15359,899000.0,1271284.6001842567,530.8476184277886,21.82511882284003
San Mateo,9838,1648000.0,2421454.384834316,1004.8389110889111,17.368570847733277
San Luis Obispo,6535,900000.0,1182657.4654934965,557.6525774986969,20.000765110941085
Kern,5499,379000.0,416474.1550936534,233.35230506545247,19.941080196399344
Butte,5249,399999.0,452564.05503333965,271.0843373493976,20.4579919984759
Monterey,5212,990000.0,1727019.7323484267,633.3676622039135,23.63181120491174
Santa Cruz,4536,1250000.0,1531378.9808201059,757.410278892568,23.806437389770725
Merced,3217,425000.0,477910.3851414361,263.56387701570645,19.634131178116256
San Joaquin,2770,685176.5,721838.7977292419,329.0196645459804,20.17653429602888
Lake,2764,345000.0,389066.84103835025,233.25833333333333,24.428726483357455
Santa Barbara,2453,779000.0,2662662.787607012,450.5813953488372,19.06807990216062
Solano,2110,560000.0,620148.9780189573,342.6294700058241,21.33601895734597
Fresno,1839,435000.0,555007.2490483959,260.93772753827784,17.87982599238717
Madera,1762,459000.0,559641.0454029512,256.4895374279639,20.733825198637913
San Francisco,1523,1098000.0,1330369.8831254104,872.8696453247352,20.409061063690086
Sacramento,1288,488270.0,543626.4515295031,319.558599695586,19.69254658385093
San Benito,1233,799900.0,892434.5547445256,422.65193370165747,24.5433901054339
Stanislaus,869,495000.0,538642.8596087457,291.2621359223301,20.2692750287687
Tehama,586,349450.0,417090.49829351535,241.7750573833206,22.011945392491466
Mariposa,579,475000.0,601315.908462867,276.24309392265195,23.374784110535405
Mendocino,573,695000.0,908452.0453752181,461.7647058823529,22.68586387434555
Tulare,501,409000.0,500468.3233532934,239.3315105946685,21.622754491017965
Imperial,446,315000.0,364669.634529148,217.06417941432147,20.331838565022423
Glenn,391,369900.0,412956.3708184143,256.00686498855833,17.736572890025574
Kings,338,364945.0,378749.92307692306,232.99673840703824,14.766272189349113
Placer,327,669000.0,799154.3883792049,331.2458315519453,20.226299694189603
Sonoma,256,799499.5,1244548.125,502.20424107142856,20.4453125
Marin,227,1295000.0,1688950.986784141,744.5538645180543,24.356828193832598
Calaveras,206,527000.0,642246.9102427185,284.5374160458691,24.25242718446602
Napa,206,899925.0,1485073.786407767,498.82491186839013,24.844660194174757
Yuba,192,425000.0,460133.7604166667,253.6337962524094,23.286458333333332
Shasta,159,415000.0,521051.26220125786,246.1038961038961,23.767295597484278
El Dorado,154,699000.0,896591.4637662336,384.3808630393996,26.662337662337663
Tuolumne,154,424900.0,504993.7265584416,269.6759259259259,21.448051948051948
Yolo,135,609000.0,659381.3442222222,340.551500405515,19.533333333333335
Other,111,755000.0,2298495.6447747746,339.1103993971364,26.756756756756758
Sutter,107,417000.0,475458.3925233645,264.78494623655916,20.261682242990656
Siskiyou,105,365000.0,484742.85714285716,222.12751534646208,20.266666666666666
Trinity,95,379000.0,412143.93684210523,224.75,37.07368421052632
Nevada,75,630000.0,825585.2933333333,335.6353591160221,21.746666666666666
Other State,71,545000.0,877666.8873239437,246.49532710280374,18.91549295774648
Plumas,63,429000.0,546591.9841269841,281.7715019255456,17.53968253968254
Amador,56,499950.0,618287.3214285715,269.0861116798617,29.285714285714285
Foreign Country,54,392500.0,929928.7407407408,197.0440251572327,38.833333333333336
Colusa,47,499000.0,794797.6382978724,253.3783783783784,24.148936170212767
Other County,38,430000.0,2215813.9210526315,251.65455175940497,15.105263157894736
Mono,37,850000.0,1264505.1081081082,714.2857142857143,22.513513513513512
Humboldt,31,599900.0,619152.0967741936,334.70982142857144,22.870967741935484
Lassen,27,229500.0,321233.3333333333,183.982683982684,21.185185185185187
Inyo,23,780000.0,807695.1739130435,397.9739507959479,20.52173913043478
Modoc,10,217500.0,224790.0,145.65483476132192,27.0
Del Norte,9,360000.0,825000.0,292.2077922077922,14.555555555555555
Sierra,3,800000.0,821666.6666666666,236.01398601398603,1.6666666666666667
Alpine,2,558125.0,558125.0,224.14557449995596,0.0
Clark,1,385000.0,385000.0,293.2216298552932,2.0
