PropertyType,PropertySubType,new_listings,median_list_price,average_list_price,median_list_price_per_sqft,average_listing_days_on_market
Residential,SingleFamilyResidence,394000,924900.0,1489540.447961472,540.010926027339,18.979121827411166
Residential,Condominium,97715,640000.0,811746.0927053165,582.7725437415882,21.584229647444097
ResidentialLease,SingleFamilyResidence,82876,4750.0,8710.638865654713,2.824087027409395,18.106230995704426
Land,,55954,110000.0,584198.4833239804,,19.350448582764415
ResidentialLease,Condominium,49101,3500.0,4484.020264353068,3.11875,19.57909207551781
Residential,Townhouse,31419,819000.0,964140.4890438906,570.1086956521739,19.493077437219515
ManufacturedInPark,,23698,184999.0,220713.0404658621,156.25,24.792514136214027
ResidentialLease,Apartment,16559,2625.0,3820.885420013286,3.188421052631579,20.129355637417717
ResidentialLease,Townhouse,12998,3950.0,5321.90117710417,2.6909722222222223,17.92629635328512
ResidentialIncome,,11010,1649000.0,2238729.1267938237,455.2488134073181,20.966666666666665
Residential,ManufacturedOnLand,7581,329900.0,376632.6735008574,234.9817643884892,21.185991294024536
ResidentialIncome,Duplex,7354,944000.0,1140478.9156921403,694.7470735785953,19.75469132444928
ResidentialLease,Duplex,5921,3000.0,3488.6060074311777,3.1914893617021276,18.69903732477622
ResidentialLease,,4607,3800.0,4845.990666377252,3.3368091762252345,17.532450618623834
ResidentialIncome,Quadruplex,3920,1399000.0,1558098.4204081632,542.8568571428572,19.93392857142857
CommercialSale,,3782,1850000.0,2845228.0219460605,377.6595744680851,22.972501322051823
Residential,Duplex,3384,982500.0,1341380.8141223404,558.2512380920912,19.14302600472813
ResidentialIncome,Triplex,3198,1149000.0,1301258.7338961852,607.843137254902,20.24108818011257
ResidentialIncome,Apartment,2906,2199000.0,3018186.1847900893,,19.76772195457674
BusinessOpportunity,,2734,179000.0,354904.05120336503,271.61566319601627,15.052304316020482
CommercialLease,Office,2543,2150.0,3788.5211557788944,,18.788438851749902
CommercialSale,MixedUse,2230,1680000.0,2487988.2322869957,,20.932286995515696
ResidentialLease,Triplex,1902,2767.5,3022.356466876972,3.222828784119107,19.059411146161935
Residential,StockCooperative,1725,374998.0,436180.7889855073,404.3478260869565,19.697391304347825
ResidentialLease,Quadruplex,1709,2500.0,2701.171445289643,2.8333333333333335,18.82094792276185
ResidentialIncome,MixedUse,1551,1699000.0,2262760.945196647,705.3991336633663,20.58027079303675
ResidentialIncome,SingleFamilyResidence,1477,999000.0,1259674.142857143,,19.708192281651996
CommercialLease,Retail,1439,3000.0,9935.279666283082,,17.405142460041695
CommercialSale,Retail,1416,1300000.0,1957713.727930791,,18.00353107344633
Residential,,1247,810000.0,1190684.5028067362,527.4663660232777,20.224538893344025
CommercialSale,Office,1109,949000.0,1575893.8322723175,,20.23264201983769
CommercialLease,,1089,3200.0,40276.59842056933,2.099983964079538,17.55004591368228
Residential,Cabin,952,299000.0,362034.9747794118,346.8777777777778,23.8781512605042
CommercialSale,Industrial,918,1500000.0,3194805.093681917,,19.598039215686274
ManufacturedInPark,ManufacturedOnLand,833,245000.0,252945.00960384155,201.171875,19.686674669867948
CommercialLease,MixedUse,779,3435.0,14000.996392496392,,17.70860077021823
CommercialLease,Industrial,765,5630.0,13522.259761904763,,15.279738562091504
CommercialSale,Business,740,949500.0,1512997.604054054,,18.866216216216216
Residential,Triplex,674,1200000.0,1541108.7982195846,504.46255335661624,20.56379821958457
ResidentialLease,Studio,535,1800.0,1865.6953271028037,4.442689231584994,17.097196261682242
Residential,MixedUse,492,850000.0,1594752.6097560977,484.29319371727746,24.203252032520325
ResidentialLease,RoomingHouse,470,1400.0,1600.068085106383,2.9858333333333333,20.77446808510638
CommercialSale,MultiFamily,467,1975000.0,2591028.8201284795,,17.75374732334047
ResidentialLease,ManufacturedOnLand,456,2125.0,2435.7938596491226,1.9053512494106553,14.94078947368421
ResidentialLease,StockCooperative,454,2750.0,2812.6321585903083,2.727272727272727,16.27533039647577
CommercialLease,Business,437,2500.0,5485.073967741935,,18.1441647597254
CommercialLease,Warehouse,396,4287.0,7895.649045801527,,17.424242424242426
CommercialSale,SpecialPurpose,332,1399950.0,2261651.987951807,,21.072289156626507
CommercialSale,Warehouse,286,1570500.0,2880502.5657342654,,16.96153846153846
Residential,Quadruplex,265,1485000.0,1778972.1245283019,424.07108239095317,20.471698113207548
CommercialSale,UnimprovedLand,238,462000.0,1173285.768907563,,16.00420168067227
Land,Agriculture,217,1250000.0,2062061.0783410138,,44.03225806451613
ResidentialLease,MixedUse,184,3297.0,4657.158695652173,3.0524305555555555,20.407608695652176
Residential,MobileHome,164,270950.0,374697.10365853657,736.1860275718805,29.914634146341463
Land,WaterPositionWithLand,138,165000.0,562448.4275362319,,15.376811594202898
CommercialLease,SpecialPurpose,128,4611.0,10250.573711340207,,15.9375
CommercialLease,UnimprovedLand,126,3000.0,11539.065822784809,,12.865079365079366
Residential,BoatSlip,120,230000.0,256765.81666666668,1875.0,20.55
ResidentialIncome,Condominium,112,1087450.0,1810546.4107142857,,16.205357142857142
CommercialSale,HotelMotel,95,1800000.0,3300965.1157894735,,22.28421052631579
Residential,OwnYourOwn,92,345000.0,782549.75,552.2168265179293,19.76086956521739
ResidentialLease,Cabin,90,2000.0,2320.1222222222223,2.3821271929824563,14.011111111111111
Residential,ManufacturedHome,70,297500.0,426012.34285714285,203.9431157078216,28.442857142857143
Residential,CoOwnership,69,525000.0,777953.4347826086,426.8965517241379,9.231884057971014
Residential,Loft,64,657500.0,671918.71875,548.4737484737485,18.84375
Land,BoatSlip,62,34950.0,81120.8870967742,,15.419354838709678
ResidentialIncome,Townhouse,61,2188800.0,2817388.3114754097,,17.098360655737704
CommercialSale,Agriculture,60,2725000.0,4041031.7333333334,,24.666666666666668
Residential,Farm,59,1859000.0,2897285.9830508474,1096.8449931412895,35.33898305084746
ResidentialLease,Loft,53,2450.0,2798.3584905660377,2.936780821917808,21.88679245283019
Residential,Timeshare,51,20000.0,275750.98039215687,31.666666666666668,30.0
ResidentialLease,ManufacturedHome,42,2200.0,2180.4761904761904,1.6035353535353536,16.404761904761905
ResidentialIncome,ManufacturedOnLand,39,398000.0,582586.4615384615,,18.666666666666668
ResidentialLease,OwnYourOwn,37,3350.0,3689.7027027027025,2.350570852921424,19.37837837837838
ResidentialLease,MobileHome,36,1850.0,2142.9166666666665,1.6369047619047619,11.805555555555555
Residential,Studio,33,450000.0,461059.8787878788,860.188679245283,15.666666666666666
CommercialSale,MobileHome,20,1312000.0,1872213.7,,8.65
CommercialLease,Agriculture,17,5000.0,9346.875,,3.823529411764706
CommercialSale,Ranch,12,2897500.0,6469166.666666667,,17.0
ResidentialIncome,Cabin,10,712500.0,1171900.0,,38.0
CommercialLease,MultiFamily,8,7000.0,17257.14285714286,,14.125
CommercialSale,Farm,8,1894500.0,5736125.0,,16.5
ResidentialIncome,OwnYourOwn,7,385990.0,687698.4285714285,,15.428571428571429
Residential,DeededParking,6,572000.0,588983.3333333334,345.82340871262124,16.833333333333332
ResidentialLease,DeededParking,6,447.5,1197.5,1.0625,6.5
CommercialLease,Ranch,5,4450.0,4475.0,,23.4
ResidentialLease,Timeshare,4,5000.0,5000.0,2.524520031167637,5.5
ResidentialIncome,CoOwnership,3,1780000.0,2869666.6666666665,,15.666666666666666
CommercialSale,Duplex,2,1312500.0,1312500.0,,1.0
CommercialLease,HotelMotel,2,852500.0,852500.0,,0.0
CommercialLease,Farm,2,2750.0,2750.0,,5.5
Land,CoOwnership,1,2900000.0,2900000.0,,25.0
ResidentialLease,BoatSlip,1,500.0,500.0,2.336448598130841,0.0
Residential,Apartment,1,1900000.0,1900000.0,550.4055619930475,23.0
ResidentialIncome,Loft,1,4995000.0,4995000.0,,0.0
ResidentialIncome,DeededParking,1,1090000.0,1090000.0,,29.0
BusinessOpportunity,MixedUse,1,975000.0,975000.0,,11.0
