list_yrmo,new_listings,median_list_price,average_list_price,median_list_price_per_sqft,average_listing_days_on_market
2024-01,17007,799000.0,1267893.7648685835,526.472997319831,29.501440583289234
2024-02,17490,818900.0,1266637.5624865638,539.9320399700989,24.548885077186963
2024-03,20501,848000.0,1322351.3604580264,547.3251028806584,19.835129993658846
2024-04,24025,875000.0,1362140.4094002082,564.7635603698138,10.861644120707597
2024-05,25447,886930.0,1390613.459998821,574.074074074074,11.028529885644673
2024-06,23310,875000.0,1343787.8190900902,564.3470080575893,10.615958815958816
2024-07,23019,850000.0,1275323.6357383032,560.0641233766233,10.26495503714323
2024-08,22215,849000.0,1267651.8999774926,553.7244561634806,8.759756920999324
2024-09,22257,850000.0,1355915.3560079974,560.4872554358194,11.98548771173114
2024-10,21921,829000.0,1274270.6735632499,543.9766839378239,12.733588796131563
2024-11,15108,799000.0,1231830.9833988615,523.1223351918662,17.740601006089488
2024-12,10694,759833.5,1136398.6778025061,504.51263537906135,9.926968393491677
2025-01,22690,855000.0,1524522.471507272,568.3868639480332,9.01529308065227
2025-02,21930,875000.0,1442241.7634290925,567.8571428571429,10.293114455084359
2025-03,25104,879900.0,1407303.3898980243,568.5727893090391,8.327318355640536
2025-04,26695,875000.0,1351966.8238557782,563.25,14.998164450271586
2025-05,26438,895000.0,1409125.0339333534,570.9342560553633,8.41856418791134
2025-06,17056,815990.0,1176505.0688320824,532.6049677362327,48.23727720450282
2025-07,17194,799900.0,1146200.8274979645,526.0491130306798,47.02727695707805
2025-08,15658,799000.0,1143123.6398959,517.169540229885,46.0599693447439
2025-09,16859,799888.0,1200366.719081796,525.5712591927332,44.479981019040274
2025-10,17186,799000.0,1212770.0069172583,522.5757274754878,43.526475037821484
2025-11,12194,774900.0,1174289.8118746926,506.4623444555017,39.87215023782188
2025-12,10516,749999.5,1179225.7417249905,495.58985667034176,30.236211487257513
2026-01,22108,829000.0,1379681.3540347386,545.3958191646232,16.845938121946805
2026-02,19997,830000.0,1345808.3741101166,540.4176904176904,23.866129919487925
2026-03,25564,859900.0,1362180.6355417774,555.6494349589872,12.157213268659051
