CountyOrParish,closed_sales,median_close_price,average_close_price,median_price_per_sqft,average_days_on_market,median_days_on_market,average_close_to_original_list_ratio,median_listing_to_contract_days,median_contract_to_close_days
Los Angeles,179270,630000.0,834365.60376739,440.9187421480515,42.73522767207189,24.0,66.95949191044053,28.0,23.0
Orange,79211,670000.0,918348.2907070987,518.3635518363552,34.72119475338644,18.0,47.38713735507501,26.0,20.0
Riverside,74763,525000.0,560442.989955058,291.51943462897526,52.4042453587288,31.0,100.64120840450428,39.0,27.0
San Diego,62813,805000.0,1204093.743277347,539.044289044289,33.979431336963096,18.0,2.1522701509672006,24.0,24.0
San Bernardino,54386,430000.0,444240.02070348983,288.22985421048816,55.91214650829257,27.5,45.25137614321307,34.0,29.0
Alameda,21764,1050000.0,1267594.4835048704,683.3786531130877,30.276006248851314,14.0,47.043795933317185,14.0,23.0
Contra Costa,20957,755000.0,1043252.874457222,492.5115207373272,32.2633010449969,16.0,1.1929330517855579,16.0,22.0
Santa Clara,20872,1490000.0,1740152.6916922193,907.4149598211588,25.37835377539287,11.0,1.0346921422211386,11.0,24.0
Ventura,18140,735000.0,776849.8827728776,456.6744730679157,43.79614112458655,28.0,1.5024164232881656,33.0,18.0
San Mateo,9038,1450000.0,1809089.3138968798,937.5,33.646160655012174,13.0,2.39075421631199,13.0,21.0
San Luis Obispo,7678,775000.0,866361.7486936703,507.2916666666667,63.738994529825476,24.0,3.2848600392447524,36.0,30.0
Butte,6292,305000.0,320511.68202161475,259.453781512605,75.93420216147489,31.0,2.8511347424328664,38.0,29.0
Kern,4895,320000.0,515891.4102226762,219.6684656096739,67.30786516853932,32.0,1.7599141966676755,37.0,30.0
Monterey,4419,880000.0,1343328.7644263408,575.0487329434698,52.97307083050464,21.0,0.9563261711349013,23.0,29.0
Santa Cruz,3701,1040000.0,1197303.0861929208,685.984060984061,45.45933531477979,21.0,0.9587667231596013,21.0,25.0
Merced,2878,405219.0,447705.89170604583,255.0,52.38082001389854,26.0,2.0510167673074733,32.0,29.0
Lake,2627,235000.0,251666.37815378758,200.0,108.07879710696612,59.0,0.885659980531627,65.0,30.0
Santa Barbara,2374,685000.0,1432115.3190564448,406.57742515053496,48.694608256107834,19.0,1.044185884266593,27.0,30.0
San Joaquin,1911,613250.0,625509.5431711146,309.5558546433378,41.80700836820084,24.0,1.5526749885996867,26.0,28.0
Solano,1626,560000.0,572430.0934809349,334.99643620812543,40.996309963099634,23.0,0.9916436403005516,25.0,25.0
Madera,1479,400000.0,427219.0101419878,243.68351063829786,73.25337837837837,40.0,1.6578489113669246,48.0,30.0
Fresno,1441,400000.0,459997.0988202637,252.42793735308783,46.32408049965302,24.0,2.422284400824921,29.0,30.0
San Francisco,1269,1090000.0,1131988.8754925139,799.5004161578133,44.35303388494878,20.0,1.01348960120115,20.0,21.0
Sacramento,977,466000.0,493306.2047082907,310.6846473029046,36.339815762538386,19.0,0.9834003897849384,21.0,24.0
San Benito,907,770000.0,820239.0650496141,403.81002624038643,53.81697905181918,30.0,0.968156436140786,32.0,29.0
Stanislaus,696,461750.0,460404.3462643678,282.67634854771785,40.389367816091955,21.0,0.9872998308858627,25.0,28.0
Imperial,615,76000.0,1380896.6975609756,204.0,83.91382113821138,48.0,2.22307152425122,64.0,22.0
Mendocino,562,575000.0,679585.8914590747,406.6666666666667,98.8967971530249,57.5,0.8921515522159572,70.5,32.0
Tehama,512,299000.0,317136.830078125,219.2982456140351,87.515625,45.0,0.9126014939603989,58.0,32.0
Mariposa,469,350000.0,400843.4200426439,247.8042659974906,97.24946695095949,55.0,0.9082829828918637,60.0,32.0
Tulare,401,375000.0,461438.33416458854,230.96257154332764,46.70822942643392,25.0,877.0689678505126,31.0,30.0
Glenn,395,336000.0,353357.33164556965,240.67164179104478,64.64303797468355,27.0,0.9450452724310417,35.0,31.0
Kings,245,340000.0,368682.2530612245,231.27753303964758,42.183673469387756,21.0,5.089807582007105,27.0,30.0
Placer,221,615000.0,655280.8054298642,315.97596303478656,39.036199095022624,23.0,0.9645903413253123,25.0,22.0
Sonoma,209,635000.0,764934.4497607655,455.04252733900364,55.708133971291865,35.0,0.9713932279096819,38.0,23.0
Yuba,174,392000.0,389815.2126436782,246.35918966855115,67.84482758620689,37.5,0.9376300328025517,52.5,28.0
Marin,173,1049990.0,1251672.1560693642,616.381200734902,56.433526011560694,30.0,0.9534493923519753,31.0,23.0
Napa,144,750000.0,964424.9722222222,440.9349336702464,65.33333333333333,37.5,0.958613073565742,38.0,22.5
Shasta,120,309500.0,314791.43333333335,217.09899959466685,93.06666666666666,54.0,0.8867687038867816,61.0,30.0
El Dorado,113,550000.0,613317.7433628319,333.02534943501684,80.10619469026548,41.0,0.9305614832323189,40.0,24.0
Calaveras,110,442500.0,499765.14545454545,271.32936507936506,71.28181818181818,51.0,0.9090108331094191,53.0,25.0
Sutter,107,410000.0,412952.80373831774,250.72032441277256,42.63551401869159,29.0,16.618759203276824,39.0,26.0
Tuolumne,97,347500.0,377329.7731958763,250.95602294455068,97.21649484536083,51.0,0.9122566753562018,51.5,30.5
Yolo,91,615000.0,623963.6483516484,330.5004721435316,44.45054945054945,25.0,0.9757661526125311,25.0,27.0
Other,78,82000.0,797969.2756410256,4.076587030716723,85.53846153846153,61.0,47.64969289837639,69.0,15.5
Siskiyou,71,275000.0,336926.04225352115,199.99993333333333,142.2394366197183,69.0,0.8783294546979004,69.0,30.0
Nevada,64,451500.0,517724.8125,295.6437258369307,52.453125,30.5,0.9011470611060864,35.0,24.5
Other State,54,4000.0,134230.2037037037,2.0,73.4074074074074,45.0,0.9018990092141108,46.5,6.0
Plumas,54,335000.0,429888.9074074074,244.9815135521469,146.37037037037038,72.5,0.8805686410904564,72.5,31.0
Amador,46,230000.0,259444.23913043478,172.29653005800586,125.1086956521739,78.0,0.8428657778229964,78.0,21.0
Trinity,35,316000.0,369439.14285714284,189.83466013472136,124.48571428571428,130.0,0.8925634246482114,132.0,32.0
Colusa,32,380000.0,392246.875,211.4406779661017,58.3125,14.5,0.9316954113720413,23.0,26.5
Other County,30,6275.0,12978460.833333334,3.2378378378378376,62.13333333333333,25.5,233.27272343884795,55.0,3.0
Mono,27,200000.0,480173.51851851854,473.93042105961405,69.29629629629629,45.0,1.48302546625865,45.5,21.0
Lassen,22,93000.0,167227.27272727274,139.64950711938664,147.36363636363637,148.0,0.800120288721627,150.5,33.5
Inyo,20,64997.5,301924.5,334.3592613318411,134.75,93.0,0.7909244606560091,94.5,29.0
Modoc,19,4000.0,33936.42105263158,104.85839820041198,164.21052631578948,99.0,0.7568945905431481,102.0,14.0
Humboldt,17,380000.0,328720.29411764705,281.48148148148147,98.6470588235294,55.0,0.8632362171962326,59.0,34.0
Foreign Country,5,200000.0,168147.08000000002,124.43469171923674,252.4,294.0,0.973154061423651,301.0,9.0
Del Norte,5,49000.0,537800.0,222.79758042315558,95.4,47.0,0.8426611354746948,55.0,10.0
Sierra,3,22000.0,98166.66666666667,222.9020979020979,52.333333333333336,73.0,0.7510759532036128,73.0,33.0
Alpine,1,1100000.0,1100000.0,267.11996114618745,231.0,231.0,0.6666666666666666,231.0,32.0
Clark,1,375000.0,375000.0,285.6054836252856,2.0,2.0,0.974025974025974,2.0,9.0
