ListOfficeName,BuyerOfficeName,closed_sales,total_sales_volume,median_close_price,average_days_on_market,average_close_to_original_list_ratio
Compass,Compass,7086,15109512650.5,1585000.0,29.408269827829525,1.1482532604926663
Coldwell Banker Realty,Coldwell Banker Realty,3391,7020896080.65,1305000.0,33.27631966971395,1.2844564971953523
Coldwell Banker Realty,Compass,1512,3031103867.5,1522500.0,31.78769841269841,1.0045051046502123
Compass,Coldwell Banker Realty,1279,2782996361.0,1591000.0,31.581704456606722,1.6901880050474272
Coldwell Banker West,Coldwell Banker West,432,2131376121.0,825000.0,24.65509259259259,5.5114821914925995
Compass,,817,1465945154.0,1405000.0,27.427172582619338,1.0375945474150672
Keller Williams Realty,Keller Williams Realty,1343,1460985039.55,920000.0,30.12807148175726,1.0077886447057967
Intero Real Estate Services,Intero Real Estate Services,836,1436281416.0,1445444.0,22.083732057416267,1.032043355482989
First Team Real Estate,First Team Real Estate,1086,1349092382.0,1100000.0,24.271639042357275,1.8853477870456978
Berkshire Hathaway HomeServices California Properties,Berkshire Hathaway HomeServices California Properties,784,1334192481.0,1092500.0,39.526785714285715,0.9691115417055983
The Agency,Compass,388,1047119152.0,1968500.0,35.70360824742268,1.0129092004240159
The Agency,The Agency,407,1035573260.0,1875000.0,37.01228501228501,0.9822923687756829
Seven Gables Real Estate,Keller Williams VIP Properties,2,990070000.0,495035000.0,142.5,505.7426655865998
Cali Real Estate Professionals,Acropolis Enterprise Inc.,1,970000000.0,970000000.0,69.0,971.0681749924918
Coldwell Banker Realty,,648,956176695.0,1216250.0,27.38888888888889,1.0230262898490718
Pacific Sotheby's Int'l Realty,Pacific Sotheby's Int'l Realty,279,955343792.1,2300000.0,48.770609318996414,0.94575958861546
Berkshire Hathaway HomeServices California Properties,Compass,464,943300512.0,1449000.0,41.036637931034484,0.9777730094199268
Compass,The Agency,338,929467596.0,1975500.0,36.40828402366864,1.0054220675353212
Redfin,Coldwell Banker Realty,100,905939052.0,1317500.0,29.49,11.21661615405798
Re/Max Golden Empire Realty,None MRML,1,900000000.0,900000000.0,261.0,58.064516129032256
Intero Real Estate Services,Compass,414,891412654.0,1793500.0,21.77294685990338,28.20323402699579
LPT Realty,Berkshire Hathaway HomeService,1,890000000.0,890000000.0,30.0,989.0537311774185
Coldwell Banker Country Realty,Coldwell Banker Country Realty,6,840941600.0,1113300.0,18.833333333333332,167.49477004736545
Intero Real Estate Services,,622,825491958.0,1153000.0,28.737942122186496,1.0255125191667398
Coldwell Banker West,Keller Williams Realty,68,822318900.0,862500.0,27.0,16.769352562325572
Success Realty & Mortgage,Realty One Group West,1,820000000.0,820000000.0,6.0,1012.3456790123457
Pacific Sotheby's Int'l Realty,Keller Williams Realty,26,816159500.0,1272500.0,54.23076923076923,37.68084506111043
RE/MAX Connections,"Pinnacle Estate Properties, Inc.",1,815000000.0,815000000.0,72.0,970.3536135254197
Compass,Intero Real Estate Services,440,814872278.0,1505000.0,19.25227272727273,1.0403890987836106
Sotheby's International Realty,Sotheby's International Realty,417,807732950.0,1425000.0,53.932853717026376,0.9475907150174867
Carolwood Estates,Carolwood Estates,90,785919844.0,4382945.0,55.27777777777778,0.9298050805438223
Real Broker,Real Broker,685,780752468.0,865000.0,25.956204379562045,0.9904299256043535
Compass,"eXp Realty of California, Inc.",233,758500261.0,950000.0,28.93991416309013,5.5173131433292095
ROA California Inc,Cabrillo Mortgage & Realty Svc,1,740000000.0,740000000.0,50.0,986.6666666666666
Equity Union,Equity Union,703,739520917.0,860000.0,40.092460881934564,2561.417373326977
Compass,Berkshire Hathaway HomeServices California Properties,330,718814941.0,1652000.0,37.00909090909091,0.9873008252805084
eXp Realty of California Inc,eXp Realty of California Inc,665,703825424.0,811000.0,32.73233082706767,2.4949262742803455
