PropertyType,PropertySubType,closed_sales,median_close_price,average_close_price,median_price_per_sqft,average_days_on_market,average_close_to_original_list_ratio
Residential,SingleFamilyResidence,297330,890000.0,1287397.8729538897,532.189955387982,36.247168148736094,63.8760612630736
Residential,Condominium,65842,627500.0,878474.7448241244,565.5226209048362,41.601591689195345,26.74676810083056
Residential,Townhouse,23345,805000.0,1021872.8318192333,562.7272727272727,31.933433283358323,43.155612223011865
Residential,ManufacturedOnLand,5124,323950.0,350544.1513290398,225.46264999154977,58.0632318501171,1.3036779005033237
Residential,Duplex,2161,912000.0,1226183.5340120315,543.75,42.86534012031467,451.3529739802461
Residential,StockCooperative,1601,360000.0,391288.9300437227,395.0,37.7264209868832,1.5698260211142372
Residential,,776,810000.0,1002688.6275773196,570.9706959706959,44.80283505154639,0.9838900608539793
Residential,Cabin,452,241250.0,283300.51548672566,291.54265873015873,79.06637168141593,0.897593458577278
Residential,Triplex,325,1100000.0,1299328.7415384615,463.38155515370704,57.41230769230769,1.0314470380327698
Residential,MixedUse,195,700000.0,1011545.1846153847,433.66001161847555,83.21538461538462,0.8884304642087947
Residential,Quadruplex,133,1250500.0,1379020.3157894737,370.12345679012344,56.82706766917293,0.9928025277613509
Residential,BoatSlip,81,184000.0,213188.88888888888,1750.0,61.03703703703704,0.911324227220679
Residential,OwnYourOwn,57,275000.0,347003.6140350877,502.51256281407035,67.96491228070175,0.9308473084683212
Residential,MobileHome,49,480000.0,441795.9183673469,656.8047337278107,67.20408163265306,0.8881424124229155
Residential,ManufacturedHome,39,290000.0,297427.1282051282,185.30351437699682,56.76923076923077,0.9518341370368645
Residential,Loft,26,687500.0,704991.8803846154,515.0789146977561,67.92307692307692,0.9765785971252018
Residential,Timeshare,18,505000.0,455861.1111111111,187.64215203095347,69.94444444444444,0.9088234702610412
Residential,CoOwnership,16,419999.5,803093.6875,411.65146909827763,43.5,63.48117175954891
Residential,Farm,15,1425000.0,1727100.0,771.604938271605,76.06666666666666,0.971151106486115
Residential,Studio,10,328000.0,353849.0,700.0801851548119,34.6,0.9607666884386559
Residential,DeededParking,6,577500.0,575833.3333333334,348.4079951787867,21.333333333333332,0.8374708882599237
