CloseDate,ClosePrice,OriginalListPrice,LivingArea,DaysOnMarket,price_ratio,close_to_original_list_ratio,price_per_sqft,close_year,close_month,yrmo,ListingContractDate,PurchaseContractDate,listing_to_contract_days,contract_to_close_days,PropertyType,PropertySubType,CountyOrParish,MLSAreaMajor
2024-01-26,240000.0,499000.0,1140.0,777,0.48096192384769537,0.48096192384769537,210.52631578947367,2024,1,2024-01,2021-10-06,2023-11-22,777.0,65.0,Residential,Condominium,San Mateo,699 - Not Defined
2024-01-24,950.0,0.0,,901,,,,2024,1,2024-01,2021-08-06,2024-01-24,901.0,0.0,CommercialLease,Retail,San Bernardino,
2024-01-16,45000.0,75000.0,,865,0.6,0.6,,2024,1,2024-01,2021-07-18,2023-12-22,887.0,25.0,Land,,Kern,LKIS - Lake Isabella
2024-01-08,141500.0,199000.0,,830,0.7110552763819096,0.7110552763819096,,2024,1,2024-01,2021-07-14,2023-10-24,832.0,76.0,Land,,San Bernardino,
2024-01-17,15000.0,19500.0,,805,0.7692307692307693,0.7692307692307693,,2024,1,2024-01,2021-06-07,2023-08-25,809.0,145.0,Land,,Los Angeles,LLO - Llano
2024-01-05,815000.0,759900.0,1974.0,33,1.0725095407290433,1.0725095407290433,412.86727456940224,2024,1,2024-01,2021-03-08,2021-06-30,114.0,919.0,Residential,SingleFamilyResidence,San Diego,91950 - National City
2024-01-17,4500.0,4200.0,2834.0,33,1.0714285714285714,1.0714285714285714,1.5878616796047988,2024,1,2024-01,2021-05-06,2024-01-17,986.0,0.0,ResidentialLease,SingleFamilyResidence,San Diego,91913 - Chula Vista
2024-01-29,1200.0,5500.0,2462.0,1004,0.21818181818181817,0.21818181818181817,0.487408610885459,2024,1,2024-01,2021-04-30,2024-01-29,1004.0,0.0,ResidentialLease,SingleFamilyResidence,Orange,N9 - Lower Newport Bay - Balboa Island
2024-01-03,3999.0,3990.0,,140,1.0022556390977444,1.0022556390977444,,2024,1,2024-01,2021-04-22,2021-09-09,140.0,846.0,Land,,Modoc,ALT - Alturas-Modoc
2024-01-05,810000.0,739900.0,1974.0,228,1.0947425327746994,1.0947425327746994,410.3343465045593,2024,1,2024-01,2021-03-08,2021-11-18,255.0,778.0,Residential,SingleFamilyResidence,San Diego,91950 - National City
2024-01-05,100000.0,175000.0,,966,0.5714285714285714,0.5714285714285714,,2024,1,2024-01,2021-03-24,2023-11-16,967.0,50.0,Land,,Los Angeles,WEH - West Hills
2024-01-01,17500.0,44000.0,3500.0,1089,0.3977272727272727,0.3977272727272727,5.0,2024,1,2024-01,2021-01-28,2024-01-22,1089.0,-21.0,ResidentialLease,SingleFamilyResidence,San Diego,92075 - Solana Beach
2024-01-23,2550.0,2550.0,,1115,1.0,1.0,,2024,1,2024-01,2020-12-30,2024-01-19,1115.0,4.0,CommercialLease,Retail,Los Angeles,651 - Rosemead/S. San Gabriel
2024-01-23,2120.0,2120.0,,1131,1.0,1.0,,2024,1,2024-01,2020-12-14,2024-01-19,1131.0,4.0,CommercialLease,Retail,Los Angeles,651 - Rosemead/S. San Gabriel
2024-01-25,1500000.0,1200000.0,,21,1.25,1.25,,2024,1,2024-01,2020-11-13,2020-12-04,21.0,1147.0,Land,,Santa Clara,699 - Not Defined
2024-01-08,100000.0,215000.0,,1025,0.46511627906976744,0.46511627906976744,,2024,1,2024-01,2020-11-03,2023-12-08,1130.0,31.0,Land,,San Mateo,699 - Not Defined
2024-01-24,45000.0,50000.0,,1771,0.9,0.9,,2024,1,2024-01,2019-01-02,2023-12-22,1815.0,33.0,Land,,Tehama,PL01 - Tehama County
2024-01-09,1750000.0,2300000.0,,796,0.7608695652173914,0.7608695652173914,,2024,1,2024-01,2019-12-27,2022-03-02,796.0,678.0,Land,,San Bernardino,265 - Bloomington
2024-01-29,350000.0,1000000.0,,305,0.35,0.35,,2024,1,2024-01,2018-01-11,2018-11-12,305.0,1904.0,Land,,Riverside,SRCAR - Southwest Riverside County
2024-01-04,150000.0,225000.0,,1394,0.6666666666666666,0.6666666666666666,,2024,1,2024-01,2020-02-15,2023-12-12,1396.0,23.0,Land,,San Bernardino,DC536 - Covington Flats
